iter	Passed	Remaining
0	37	11293
1	70	10502
2	101	10017
3	133	9899
4	167	9858
5	202	9898
6	236	9916
7	271	9892
8	304	9842
9	339	9851
10	373	9814
11	408	9807
12	444	9819
13	480	9810
14	514	9767
15	547	9720
16	578	9625
17	610	9565
18	643	9509
19	678	9500
20	706	9390
21	740	9360
22	774	9328
23	808	9297
24	843	9281
25	877	9247
26	912	9228
27	946	9192
28	982	9178
29	1014	9129
30	1049	9106
31	1086	9102
32	1120	9066
33	1155	9040
34	1188	9000
35	1224	8979
36	1260	8961
37	1299	8958
38	1332	8916
39	1368	8894
40	1413	8927
41	1445	8878
42	1477	8830
43	1508	8776
44	1543	8745
45	1578	8715
46	1615	8697
47	1653	8679
48	1686	8638
49	1725	8628
50	1759	8591
51	1794	8556
52	1829	8527
53	1863	8487
54	1895	8445
55	1925	8390
56	1956	8340
57	1990	8305
58	2026	8278
59	2057	8228
60	2092	8197
61	2125	8157
62	2158	8118
63	2189	8074
64	2228	8055
65	2260	8014
66	2293	7975
67	2328	7943
68	2363	7913
69	2399	7882
70	2432	7845
71	2465	7808
72	2500	7776
73	2531	7730
74	2562	7688
75	2595	7650
76	2629	7615
77	2661	7574
78	2691	7530
79	2725	7494
80	2757	7454
81	2794	7429
82	2827	7391
83	2861	7359
84	2887	7303
85	2922	7272
86	2955	7236
87	2988	7200
88	3024	7171
89	3050	7117
90	3083	7081
91	3115	7044
92	3148	7008
93	3180	6969
94	3209	6926
95	3233	6872
96	3270	6845
97	3295	6791
98	3326	6754
99	3356	6713
100	3382	6664
101	3419	6637
102	3450	6599
103	3483	6564
104	3515	6528
105	3550	6498
106	3580	6458
107	3603	6405
108	3625	6353
109	3657	6316
110	3691	6284
111	3713	6234
112	3749	6205
113	3790	6184
114	3826	6155
115	3856	6117
116	3890	6084
117	3928	6059
118	3968	6036
119	4025	6037
120	4075	6029
121	4108	5994
122	4143	5962
123	4176	5927
124	4212	5897
125	4245	5862
126	4270	5817
127	4304	5784
128	4332	5743
129	4361	5703
130	4397	5672
131	4423	5630
132	4457	5596
133	4494	5567
134	4529	5536
135	4564	5504
136	4596	5469
137	4632	5438
138	4659	5396
139	4685	5355
140	4711	5313
141	4738	5272
142	4764	5231
143	4791	5190
144	4828	5161
145	4863	5130
146	4892	5092
147	4918	5051
148	4945	5011
149	4972	4972
150	5000	4934
151	5026	4893
152	5051	4853
153	5077	4814
154	5104	4775
155	5133	4738
156	5162	4702
157	5188	4662
158	5214	4624
159	5240	4585
160	5266	4547
161	5293	4509
162	5320	4471
163	5348	4435
164	5375	4398
165	5404	4362
166	5430	4324
167	5456	4287
168	5483	4250
169	5510	4214
170	5536	4176
171	5561	4138
172	5587	4101
173	5612	4064
174	5640	4028
175	5666	3992
176	5692	3955
177	5718	3919
178	5744	3883
179	5769	3846
180	5796	3810
181	5821	3774
182	5847	3738
183	5873	3703
184	5900	3667
185	5926	3632
186	5952	3596
187	5977	3561
188	6004	3526
189	6030	3491
190	6057	3456
191	6083	3421
192	6109	3387
193	6135	3352
194	6162	3318
195	6189	3284
196	6216	3250
197	6242	3215
198	6268	3181
199	6294	3147
200	6321	3113
201	6348	3079
202	6374	3046
203	6402	3012
204	6427	2978
205	6454	2945
206	6479	2911
207	6506	2877
208	6533	2844
209	6559	2811
210	6586	2778
211	6612	2744
212	6639	2711
213	6664	2678
214	6689	2644
215	6716	2611
216	6742	2578
217	6768	2546
218	6795	2513
219	6820	2480
220	6846	2447
221	6872	2414
222	6899	2382
223	6925	2349
224	6951	2317
225	6977	2284
226	7004	2252
227	7030	2220
228	7056	2187
229	7081	2155
230	7107	2123
231	7132	2090
232	7158	2058
233	7183	2026
234	7209	1994
235	7236	1962
236	7261	1930
237	7288	1898
238	7314	1866
239	7340	1835
240	7367	1803
241	7393	1772
242	7419	1740
243	7445	1708
244	7470	1677
245	7496	1645
246	7522	1614
247	7547	1582
248	7574	1551
249	7601	1520
250	7628	1489
251	7655	1458
252	7680	1426
253	7705	1395
254	7731	1364
255	7757	1333
256	7783	1302
257	7810	1271
258	7835	1240
259	7862	1209
260	7888	1178
261	7915	1147
262	7941	1117
263	7969	1086
264	7996	1056
265	8023	1025
266	8049	994
267	8075	964
268	8102	933
269	8128	903
270	8155	872
271	8181	842
272	8207	811
273	8233	781
274	8259	750
275	8285	720
276	8313	690
277	8341	660
278	8368	629
279	8398	599
280	8425	569
281	8452	539
282	8480	509
283	8509	479
284	8538	449
285	8564	419
286	8590	389
287	8616	359
288	8641	328
289	8666	298
290	8692	268
291	8718	238
292	8746	208
293	8772	179
294	8798	149
295	8824	119
296	8850	89
297	8876	59
298	8901	29
299	8927	0
